ts_utc,dex,pool,program_id,tick_spacing,fee_ppm,fee_bps,protocol_fee_ppm,liquidity_u128,sqrt_price_x64,tick_current,mintA,decA,symbolA,mintB,decB,symbolB,base_mint,base_decimals,base_symbol,quote_mint,quote_decimals,quote_symbol,usd_per_quote,mid_usd_per_base,usd_notional,buy_px_usd_per_base,sell_px_usd_per_base,roundtrip_bps,fee_bps_total,impact_bps_total,buy_out_base,sell_in_base,buy_fee_quote,sell_fee_base
2025-10-20T14:39:26.531Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,25000,0.36864161590061567,0.3646020359456967,170.62803240996226,60,110.62803240996224,67816.54301,68567.911134,,
2025-10-20T14:39:26.654Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,50000,0.36931415021599884,0.3639815522227918,206.0386550595296,60,146.0386550595296,135386.093305,137369.599351,,
2025-10-20T14:39:26.779Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,100000,0.371174968889544,0.36224307452172977,304.6090709014635,60,244.60907090146353,269414.719153,276057.727624,,
2025-10-20T14:39:26.907Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,500000,0.3879756989146765,0.34704734585249286,1180.8648472314803,60,1120.8648472314803,1288740.509776,1440725.612731,,
2025-10-20T14:39:27.057Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,1000000,0.44912873215504356,0.3267860272861563,3410.480215864206,60,3350.480215864206,2226533.126041,3060106.3586,,
2025-10-20T14:39:48.874Z,meteora,J2Gsg3xTDjM8UZjKdEqzBeDwitHb2Ux6TSBX5RzsE42r,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,1678,,,,,,,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6,JLP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,5.472737891496348,10,5.483706810325161,5.4617917626349,120.04402937753235,80,40.044029377532354,1.823584,1.830901,,
2025-10-20T14:39:48.999Z,meteora,J2Gsg3xTDjM8UZjKdEqzBeDwitHb2Ux6TSBX5RzsE42r,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,1678,,,,,,,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6,JLP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,5.472737891496348,25,5.48370560748381,5.461791166011579,120.04292167231705,80,40.04292167231704,4.558961,4.577253,,
2025-10-20T14:39:49.124Z,meteora,J2Gsg3xTDjM8UZjKdEqzBeDwitHb2Ux6TSBX5RzsE42r,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,1678,,,,,,,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6,JLP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,5.472737891496348,50,5.48370560748381,5.461791762634899,120.04183149893132,80,40.04183149893132,9.117922,9.154505,,
2025-10-20T14:39:49.250Z,meteora,J2Gsg3xTDjM8UZjKdEqzBeDwitHb2Ux6TSBX5RzsE42r,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,1678,,,,,,,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6,JLP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,5.472737891496348,100,5.48370560748381,5.461792060946609,120.04128641214757,80,40.04128641214758,18.235844,18.309009,,
2025-10-20T14:39:49.376Z,meteora,J2Gsg3xTDjM8UZjKdEqzBeDwitHb2Ux6TSBX5RzsE42r,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,1678,,,,,,,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6,JLP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,5.472737891496348,250,5.483705366915603,5.46179223993365,120.04051978444377,80,40.04051978444378,45.589612,45.772521,,
